"replicate","scenario","interim_n","information_fraction","ATE_hat","mean_CATE_hat","sd_CATE_hat","min_CATE_hat","max_CATE_hat","fraction_negative_CATE","fraction_CATE_meaningfully_harmed","mean_true_CATE"
231,"B_smooth_logistic",2800,0.7,-0.0569605591581945,-0.0570304111666646,0.0380580354803054,-0.12801901002052,0.00444061991112073,0.960357142857143,0.786071428571429,-0.0368625945066473
231,"B_smooth_logistic",3400,0.85,-0.0550110535014422,-0.0552559816621899,0.0437840058652763,-0.139765348552224,0.0132469856425934,0.893235294117647,0.727058823529412,-0.0369564257773826
231,"B_smooth_logistic",4000,1,-0.0527824026639344,-0.0530545962968735,0.0375140303345559,-0.124840259497196,0.00608379431982922,0.93875,0.75175,-0.0370377248452991
232,"A_threshold",1000,0.25,0.00721804511278196,0.00564485491438823,0.00309522104030143,-0.00842153526070527,0.0105818688399831,0.057,0,-0.01004
232,"A_threshold",1600,0.4,0.000562851782363968,-0.000272619926044439,0.00649485088715668,-0.0139368170459574,0.0319858797339224,0.569375,0,-0.01005
232,"A_threshold",2200,0.55,-0.0044685707766219,-0.00497355746064234,0.00356713314084194,-0.0123306563660555,0.01273904485955,0.901818181818182,0,-0.0102363636363636
232,"A_threshold",2800,0.7,-0.0109945134621539,-0.0114768009214119,0.0072733728810574,-0.0272416529980691,0.0241485425879702,0.926785714285714,0.103928571428571,-0.0102428571428571
232,"A_threshold",3400,0.85,-0.0130307148361895,-0.013338665215523,0.0103507468302549,-0.0419642575016047,0.0329395137980006,0.889411764705882,0.273235294117647,-0.0101882352941176
232,"A_threshold",4000,1,-0.00628489122553753,-0.00640242139623947,0.0157695262319646,-0.0588634508262547,0.0555077739025999,0.66625,0.19375,-0.01025
232,"B_smooth_logistic",1000,0.25,-0.0299202260728252,-0.0295451908144585,0.023530854330227,-0.0714570989245365,0.0103730013637604,0.872,0.622,-0.0372803880978148
232,"B_smooth_logistic",1600,0.4,-0.017928635772195,-0.0176789979584219,0.0206820410397533,-0.055090569342894,0.0176092460073834,0.75,0.449375,-0.0371974704899035
232,"B_smooth_logistic",2200,0.55,-0.0254005212398629,-0.0250403635116389,0.0219474364287439,-0.0654862410346065,0.0112225897721794,0.831363636363636,0.562272727272727,-0.0371987279069476
232,"B_smooth_logistic",2800,0.7,-0.0297216113176955,-0.0296113975855126,0.0164669516837046,-0.0591034699808076,-0.00191371264329299,1,0.666071428571429,-0.037161312514072
232,"B_smooth_logistic",3400,0.85,-0.030210497161058,-0.0301877619637813,0.0140498240310825,-0.0554861681032842,-0.00659176301663766,1,0.707352941176471,-0.0370933928404024
232,"B_smooth_logistic",4000,1,-0.0316376072276785,-0.0315245547096293,0.0113064119374141,-0.0525002187325744,-0.0131747637332622,1,0.794,-0.0370583026557212
233,"A_threshold",1000,0.25,-0.00617955942622951,-0.00610240974444713,0.00586837041974171,-0.025451170422777,0.0119685735894241,0.847,0.011,-0.01036
233,"A_threshold",1600,0.4,-0.00646612006231727,-0.00631478713431619,0.00846837140083673,-0.0362485649498273,0.0185346148268515,0.76125,0.061875,-0.01025
233,"A_threshold",2200,0.55,0.00524010248780891,0.00528801761949335,0.00231785362569557,-0.00215899541198913,0.0139063621935575,0.0122727272727273,0,-0.0102545454545455
233,"A_threshold",2800,0.7,-0.00615280529450452,-0.00581331293888377,0.000716600905777968,-0.0079897411595926,-0.00311927231283106,1,0,-0.0101714285714286
233,"A_threshold",3400,0.85,-0.00277371777836832,-0.00273333553554081,0.00465616367409117,-0.0192667955434151,0.0129950549660117,0.722941176470588,0,-0.0102235294117647
233,"A_threshold",4000,1,-0.0047980767692283,-0.00481407954147239,0.0112881676330571,-0.0488468522116263,0.0307891389609903,0.66225,0.086,-0.0103
233,"B_smooth_logistic",1000,0.25,-0.00632402529610118,-0.00629240410510905,0.0095980128479685,-0.0234926482770078,0.00984247236808199,0.678,0.097,-0.0377387008194705
233,"B_smooth_logistic",1600,0.4,-0.027293792646551,-0.0274756140221727,0.00871236006542763,-0.0431084871298571,-0.0131385896133527,1,0.745,-0.0372251397731354
233,"B_smooth_logistic",2200,0.55,-0.0384827718438739,-0.0387733243239786,0.0265319142983577,-0.087138582330762,0.00496492695798877,0.944545454545455,0.693181818181818,-0.0372414036239361
233,"B_smooth_logistic",2800,0.7,-0.0434393295832855,-0.0438337017299215,0.02695718522441,-0.0939949337645811,-0.000341251395477901,1,0.753928571428571,-0.0373272780218471
233,"B_smooth_logistic",3400,0.85,-0.0482652428216944,-0.0485479834543868,0.0232741133942013,-0.0907577965095239,-0.00963525825769296,1,0.863235294117647,-0.0373695322886311
233,"B_smooth_logistic",4000,1,-0.0466887590263325,-0.0469859073706817,0.0229427698675927,-0.0886086286894225,-0.00873868865346673,1,0.8425,-0.0374552137178867
